timestamps,x_array,y_array,z_array
187,1.103,2.393,5.9633
188,0.8111,2.2048,6.6896
189,1.044,2.4279,8.2006
190,1.3189,2.4727,10.534
191,0.99116,1.8369,12.551
192,0.74536,1.5569,14.053
193,0.10235,1.8486,15.295
194,-0.6372,2.0271,16.254
195,-1.0408,1.8666,16.892
196,-1.478,1.4123,17.063
197,-1.8996,1.3953,16.385
198,-2.3503,1.5504,14.395
199,-2.4286,2.021,12.225
200,-2.4092,2.3731,10.331
201,-2.3516,2.4092,9.0338
202,-2.1335,2.2275,7.9742
203,-1.828,2.0988,7.3762
204,-1.3494,2.1815,7.0807
205,-1.0594,2.1257,6.8336
206,-0.83244,1.9736,6.4031
207,-0.52672,1.9029,5.545
208,-0.20376,1.9578,4.7174
209,-0.043172,2.1161,4.1022
210,0.12652,2.1555,3.6553
211,0.27268,2.0559,3.3731
212,0.4233,1.9939,3.1537
213,0.57963,2.0384,2.9505
214,0.84223,2.3793,3.2955
215,0.99726,2.7769,4.2937
216,0.5995,2.6888,6.4536
217,0.089122,2.3315,9.0099
218,-0.051207,2.3429,11.19
219,-0.03167,2.8835,12.914
220,0.077409,3.2308,13.836
221,0.2258,3.8902,14.737
222,-0.40783,3.8147,16.534
223,-1.2745,3.3484,18.193
224,-1.7805,3.0852,17.867
225,-1.5719,2.8401,16.921
226,-0.77223,2.501,15.687
227,-0.10597,1.9548,13.687
228,0.20911,1.4957,11.8
229,0.31259,1.3415,10.102
230,0.081547,1.277,8.9189
231,-0.24793,1.2438,8.2507
232,-0.32301,1.0766,7.8935
233,-0.12091,0.99969,7.5691
234,0.27976,0.96881,7.5353
235,0.51056,0.83102,7.7249
236,0.58135,0.66736,7.9424
237,0.35733,0.48238,7.9408
238,0.2116,0.37632,7.4476
239,0.18575,0.50467,6.7306
240,0.058811,0.60298,5.7441
241,-0.10684,0.8107,4.8193
242,-0.073646,1.0158,4.2994
243,0.012862,1.2378,4.1069
244,-0.26689,1.2265,4.274
245,-0.50952,1.3088,4.4037
246,-0.47103,1.6072,4.5848
247,-0.26968,1.8156,5.4251
248,-0.204,1.7108,7.0472
249,-0.37187,1.4314,8.9303
250,-1.0114,1.6308,10.803
251,-1.9118,1.7976,12.064
252,-2.5675,2.044,13.882
253,-2.7163,2.6036,15.243
254,-3.8497,3.0151,17.608
255,-6.3451,2.5389,20.274
256,-6.9785,0.61693,22.214
257,-3.9249,-0.24024,22.387
258,-0.73445,-0.32134,17.507
259,0.2071,-0.29418,13.892
260,-0.022209,-0.1156,12.04
261,-0.53955,0.006426,10.286
262,-0.80894,0.18231,8.295
263,-0.78811,0.47379,6.7575
264,-0.68037,0.74216,5.8291
265,-0.36102,1.2036,4.903
266,-0.44003,1.4841,4.7038
267,-0.45211,1.4745,5.0156
268,-0.45266,1.5245,5.5158
269,-0.2924,1.4626,5.4227
270,0.21596,1.5255,4.9788
271,0.50362,1.6082,4.6468
272,0.4008,1.703,4.3618
273,0.31709,1.94,4.2469
274,0.22099,1.8467,4.6748
275,0.2349,1.8593,5.7335
276,0.3694,1.8264,6.5085
277,0.51997,1.8453,6.65
278,0.75291,2.002,6.2622
279,0.78956,2.3471,6.8143
280,0.52558,2.5469,9.1141
281,0.032341,2.7235,11.861
282,-0.15578,2.5242,13.036
283,0.34966,2.9235,13.205
284,0.50164,3.5247,14.492
285,-0.14042,3.2217,17.051
286,-1.7509,2.4536,19.643
