timestamps,x_array,y_array,z_array
173,-1.8673,-10.779,-1.9536
174,-3.8053,-7.7719,0.63835
175,-2.5637,-9.9049,-1.624
176,-8.3081,-10.814,0.23289
177,-6.3896,-11.934,-6.0015
178,-0.95684,-17.922,-0.60182
179,-1.9729,-7.3853,3.8284
180,1.3323,-1.2837,2.0672
181,-22.504,-19.566,-12.805
182,-1.0935,-19.879,1.1443
183,1.8292,-12.781,5.6127
184,-5.9315,-6.8362,2.9716
185,-3.4582,-7.5469,3.3443
186,-7.8414,-7.6292,3.0291
187,-6.4815,-14.694,0.2186
188,-4.0966,-17.306,4.7725
189,-0.88556,-9.605,3.704
190,-1.7155,-4.0342,3.3904
191,3.2743,-2.565,-1.2798
192,-6.8056,-5.1222,-3.8746
193,4.1734,-2.5708,4.7022
194,-6.156,-10.802,-1.471
195,-2.8891,-8.0905,-0.44898
196,-1.8036,-8.8303,-1.0597
197,-8.9153,-9.2533,-2.073
198,-9.149,-12.588,-2.4593
199,0.095682,-18.878,0.18191
200,-1.359,-8.3887,2.1923
201,-0.7718,-2.8867,2.892
202,-1.2688,-4.889,-8.3775
203,-1.2824,-13.364,-2.8511
204,-0.46173,-6.8018,9.2686
205,-4.4198,-8.1919,0.95726
206,-4.0186,-8.6025,0.55092
207,-3.4215,-10.556,-1.6521
208,-6.6856,-10.8,-1.115
209,-2.9658,-12.989,-3.2741
210,-1.6391,-15.844,0.15917
211,-2.419,-8.6735,2.2139
212,-3.3069,-7.2341,3.5238
213,-2.8146,-5.7778,3.3412
214,-1.1479,-5.0415,3.3311
215,-0.060707,-4.0433,3.4373
216,0.83438,-2.704,2.6113
217,2.3635,-1.9567,1.5781
218,3.3071,-2.1411,0.43241
219,3.1637,-2.6216,-1.0156
220,1.1969,-4.0425,-4.2617
221,-6.5306,-9.1157,-18.115
222,-28.974,-21.094,-0.69722
223,-15.502,-10.145,-7.1739
224,-6.5849,-4.5345,-4.3165
225,-2.8378,-3.5665,-0.59213
226,-1.113,-11.355,2.9979
227,-0.24973,-18.988,-0.44601
228,-1.6605,-16.649,-0.63885
229,-1.052,-7.523,-2.4189
230,0.47813,-5.2456,5.0152
231,2.5453,-6.985,6.8692
232,1.3049,-10.432,5.7828
233,-0.53339,-11.81,3.6845
234,-2.5448,-10.905,0.73297
235,-5.3597,-10.549,-0.012096
236,-6.7405,-9.6765,0.60786
237,-7.2219,-8.1076,0.89905
238,-4.3497,-7.0039,1.4373
239,-2.5534,-8.1931,0.60511
240,-2.0593,-8.3384,0.12174
241,-2.6573,-8.5249,1.4717
242,-2.8317,-7.8835,3.2352
243,-2.572,-7.6017,2.2886
244,-2.552,-8.415,-0.18314
245,-2.7888,-9.6514,-1.6668
246,-3.8221,-9.008,-0.78136
247,-5.0997,-6.5339,1.6982
248,-9.1764,-7.9904,2.4163
249,-9.6031,-9.2155,-0.73483
250,-7.2265,-9.9805,-0.93036
251,-4.6164,-12.159,-2.031
252,-5.3339,-14.358,0.09935
253,-8.0664,-14.535,-0.63203
254,-10.335,-13.705,-2.0878
255,-6.8264,-10.841,-2.3444
256,-3.6763,-11.026,-2.0487
257,-5.5618,-14.575,4.7558
258,-3.9045,-16.588,3.4949
259,-1.6675,-17.445,-0.24962
260,-1.2967,-17.634,-1.7948
261,-1.4004,-16.385,-1.6469
262,0.083673,-12.769,1.9114
263,0.71043,-10.013,3.8425
264,0.1197,-8.4727,2.2852
265,-0.75048,-6.8077,3.0117
266,-2.7277,-5.3591,3.4766
267,-2.9474,-4.284,1.4555
268,-1.4923,-3.6414,2.7616
269,-0.55935,-3.0623,3.1304
270,0.60064,-2.0939,2.036
271,2.3272,-2.0447,0.8531
272,3.0612,-2.5925,-0.093594
273,2.3503,-3.4388,-1.557
274,-1.4812,-5.8984,-10.127
275,-20.869,-18.489,-16.076
276,-26.09,-20.987,-9.2782
277,-9.1443,-6.8328,-7.0874
278,-5.585,-3.9344,-2.3598
279,-3.9653,-11.963,3.7509
280,-4.5993,-17.555,4.3681
281,-0.43029,-10.314,-2.008
282,0.99093,-6.5423,-3.8138
283,3.6032,-4.8213,6.6501
284,4.4571,-8.4152,7.7799
285,2.0269,-12.023,5.7907
286,-0.71473,-13.915,2.8532
287,-2.7679,-12.026,-1.3667
288,-5.1002,-10.465,-0.81356
289,-6.0847,-9.1616,2.0273
290,-6.6227,-7.7764,2.0266
291,-4.6848,-7.0783,1.4676
292,-3.5742,-7.8076,0.52265
293,-3.2881,-8.4253,-0.079239
294,-3.0881,-8.3931,1.2714
295,-2.154,-7.8014,2.4149
296,-1.594,-8.3142,1.9145
297,-1.4509,-9.12,-0.46508
298,-2.8559,-9.4498,-1.6875
299,-4.5676,-8.7276,-1.0859
300,-4.8988,-6.629,0.88631
301,-8.2132,-7.8546,1.9437
302,-9.4513,-9.257,-0.72574
303,-8.0991,-8.3944,-0.53792
304,-6.0614,-10.286,-0.82714
305,-6.8455,-12.721,-2.4269
306,-9.244,-14.509,-0.70524
307,-8.8925,-12.398,-3.1678
308,-6.063,-12.157,-3.1326
309,-6.2695,-13.805,0.57047
310,-6.7008,-16.718,5.2309
311,-3.1126,-19.483,2.2419
312,-0.5494,-19.962,0.14614
313,-1.3305,-18.529,-0.9519
314,-1.104,-13.838,-0.15232
315,-0.82618,-10.825,4.5377
316,-1.408,-9.1432,2.9458
317,-1.1887,-8.2822,1.208
318,-1.6012,-7.0824,2.9518
319,-2.0725,-5.721,2.8721
320,-1.5004,-4.3455,3.056
321,-0.27662,-3.1541,3.3506
322,0.42917,-2.0799,2.5401
